length	method1	method2	method3	method4
5101	20411	8	35721	25506
5106	20431	8	35756	25531
5111	20451	13	35798	25556
5116	20471	8	35826	25581
5121	20491	18	35875	25606
5126	20511	8	35896	25631
5131	20531	8	35931	25656
5136	20551	8	35966	25681
5141	20571	13	36008	25706
5146	20591	8	36036	25731
5151	20611	8	36071	25756
5156	20631	8	36106	25781
5161	20651	8	36141	25806
5166	20671	23	36197	25831
5171	20691	8	36211	25856
5176	20711	8	36246	25881
5181	20731	13	36288	25906
5186	20751	23	36337	25931
5191	20771	8	36351	25956
5196	20791	8	36386	25981
5201	20811	8	36421	26006
5206	20831	18	36470	26031
5211	20851	8	36491	26056
5216	20871	18	36540	26081
5221	20891	13	36568	26106
5226	20911	13	36603	26131
5231	20931	8	36631	26156
5236	20951	13	36673	26181
5241	20971	8	36701	26206
5246	20991	8	36736	26231
5251	21011	8	36771	26256
5256	21031	8	36806	26281
5261	21051	33	36876	26306
5266	21071	8	36876	26331
5271	21091	13	36918	26356
5276	21111	8	36946	26381
5281	21131	8	36981	26406
5286	21151	8	37016	26431
5291	21171	18	37065	26456
5296	21191	8	37086	26481
5301	21211	13	37128	26506
5306	21231	48	37212	26531
5311	21251	8	37191	26556
5316	21271	8	37226	26581
5321	21291	8	37261	26606
5326	21311	8	37296	26631
5331	21331	8	37331	26656
5336	21351	8	37366	26681
5341	21371	13	37408	26706
5346	21391	8	37436	26731
5351	21411	8	37471	26756
5356	21431	13	37513	26781
5361	21451	8	37541	26806
5366	21471	23	37597	26831
5371	21491	53	37674	26856
5376	21511	18	37660	26881
5381	21531	28	37709	26906
5386	21551	8	37716	26931
5391	21571	8	37751	26956
5396	21591	18	37800	26981
5401	21611	18	37835	27006
5406	21631	18	37870	27031
5411	21651	13	37898	27056
5416	21671	8	37926	27081
5421	21691	8	37961	27106
5426	21711	8	37996	27131
5431	21731	8	38031	27156
5436	21751	13	38073	27181
5441	21771	8	38101	27206
5446	21791	13	38143	27231
5451	21811	8	38171	27256
5456	21831	18	38220	27281
5461	21851	8	38241	27306
5466	21871	13	38283	27331
5471	21891	23	38332	27356
5476	21911	8	38346	27381
5481	21931	8	38381	27406
5486	21951	8	38416	27431
5491	21971	13	38458	27456
5496	21991	13	38493	27481
5501	22011	8	38521	27506
5506	22031	13	38563	27531
5511	22051	18	38605	27556
5516	22071	18	38640	27581
5521	22091	13	38668	27606
5526	22111	28	38724	27631
5531	22131	8	38731	27656
5536	22151	8	38766	27681
5541	22171	23	38822	27706
5546	22191	18	38850	27731
5551	22211	18	38885	27756
5556	22231	8	38906	27781
5561	22251	8	38941	27806
5566	22271	8	38976	27831
5571	22291	13	39018	27856
5576	22311	13	39053	27881
5581	22331	18	39095	27906
5586	22351	18	39130	27931
5591	22371	8	39151	27956
5596	22391	18	39200	27981
5601	22411	18	39235	28006
5606	22431	13	39263	28031
5611	22451	8	39291	28056
5616	22471	13	39333	28081
5621	22491	8	39361	28106
5626	22511	23	39417	28131
5631	22531	18	39445	28156
5636	22551	23	39487	28181
5641	22571	8	39501	28206
5646	22591	8	39536	28231
5651	22611	18	39585	28256
5656	22631	8	39606	28281
5661	22651	8	39641	28306
5666	22671	8	39676	28331
5671	22691	13	39718	28356
5676	22711	18	39760	28381
5681	22731	8	39781	28406
5686	22751	33	39851	28431
5691	22771	13	39858	28456
5696	22791	13	39893	28481
5701	22811	18	39935	28506
5706	22831	8	39956	28531
5711	22851	8	39991	28556
5716	22871	8	40026	28581
5721	22891	23	40082	28606
5726	22911	18	40110	28631
5731	22931	8	40131	28656
5736	22951	8	40166	28681
5741	22971	18	40215	28706
5746	22991	28	40264	28731
5751	23011	23	40292	28756
5756	23031	8	40306	28781
5761	23051	8	40341	28806
5766	23071	8	40376	28831
5771	23091	8	40411	28856
5776	23111	13	40453	28881
5781	23131	13	40488	28906
5786	23151	43	40565	28931
5791	23171	38	40593	28956
5796	23191	38	40628	28981
5801	23211	18	40635	29006
5806	23231	13	40663	29031
5811	23251	8	40691	29056
5816	23271	8	40726	29081
5821	23291	8	40761	29106
5826	23311	18	40810	29131
5831	23331	13	40838	29156
5836	23351	8	40866	29181
5841	23371	18	40915	29206
5846	23391	8	40936	29231
5851	23411	8	40971	29256
5856	23431	8	41006	29281
5861	23451	18	41055	29306
5866	23471	13	41083	29331
5871	23491	8	41111	29356
5876	23511	8	41146	29381
5881	23531	23	41202	29406
5886	23551	13	41223	29431
5891	23571	8	41251	29456
5896	23591	13	41293	29481
5901	23611	8	41321	29506
5906	23631	8	41356	29531
5911	23651	8	41391	29556
5916	23671	18	41440	29581
5921	23691	8	41461	29606
5926	23711	18	41510	29631
5931	23731	8	41531	29656
5936	23751	8	41566	29681
5941	23771	23	41622	29706
5946	23791	8	41636	29731
5951	23811	8	41671	29756
5956	23831	13	41713	29781
5961	23851	18	41755	29806
5966	23871	13	41783	29831
5971	23891	8	41811	29856
5976	23911	8	41846	29881
5981	23931	8	41881	29906
5986	23951	13	41923	29931
5991	23971	8	41951	29956
5996	23991	18	42000	29981
6001	24011	8	42021	30006
6006	24031	13	42063	30031
6011	24051	8	42091	30056
6016	24071	13	42133	30081
6021	24091	23	42182	30106
6026	24111	23	42217	30131
6031	24131	18	42245	30156
6036	24151	8	42266	30181
6041	24171	8	42301	30206
6046	24191	13	42343	30231
6051	24211	13	42378	30256
6056	24231	8	42406	30281
6061	24251	23	42462	30306
6066	24271	18	42490	30331
6071	24291	8	42511	30356
6076	24311	8	42546	30381
6081	24331	8	42581	30406
6086	24351	8	42616	30431
6091	24371	13	42658	30456
6096	24391	8	42686	30481
6101	24411	8	42721	30506
6106	24431	8	42756	30531
6111	24451	8	42791	30556
6116	24471	8	42826	30581
6121	24491	23	42882	30606
6126	24511	18	42910	30631
6131	24531	8	42931	30656
6136	24551	13	42973	30681
6141	24571	13	43008	30706
6146	24591	13	43043	30731
6151	24611	28	43099	30756
6156	24631	13	43113	30781
6161	24651	13	43148	30806
6166	24671	8	43176	30831
6171	24691	8	43211	30856
6176	24711	13	43253	30881
6181	24731	18	43295	30906
6186	24751	18	43330	30931
6191	24771	8	43351	30956
6196	24791	18	43400	30981
6201	24811	8	43421	31006
6206	24831	13	43463	31031
6211	24851	8	43491	31056
6216	24871	8	43526	31081
6221	24891	18	43575	31106
6226	24911	8	43596	31131
6231	24931	8	43631	31156
6236	24951	8	43666	31181
6241	24971	8	43701	31206
6246	24991	8	43736	31231
6251	25011	13	43778	31256
6256	25031	8	43806	31281
6261	25051	18	43855	31306
6266	25071	8	43876	31331
6271	25091	8	43911	31356
6276	25111	8	43946	31381
6281	25131	8	43981	31406
6286	25151	8	44016	31431
6291	25171	8	44051	31456
6296	25191	8	44086	31481
6301	25211	23	44142	31506
6306	25231	8	44156	31531
6311	25251	13	44198	31556
6316	25271	13	44233	31581
6321	25291	13	44268	31606
6326	25311	13	44303	31631
6331	25331	8	44331	31656
6336	25351	8	44366	31681
6341	25371	13	44408	31706
6346	25391	13	44443	31731
6351	25411	38	44513	31756
6356	25431	8	44506	31781
6361	25451	23	44562	31806
6366	25471	18	44590	31831
6371	25491	13	44618	31856
6376	25511	8	44646	31881
6381	25531	23	44702	31906
6386	25551	13	44723	31931
6391	25571	13	44758	31956
6396	25591	8	44786	31981
6401	25611	8	44821	32006
6406	25631	8	44856	32031
6411	25651	23	44912	32056
6416	25671	8	44926	32081
6421	25691	13	44968	32106
6426	25711	18	45010	32131
6431	25731	13	45038	32156
6436	25751	8	45066	32181
6441	25771	13	45108	32206
6446	25791	13	45143	32231
6451	25811	13	45178	32256
6456	25831	8	45206	32281
6461	25851	13	45248	32306
6466	25871	8	45276	32331
6471	25891	8	45311	32356
6476	25911	13	45353	32381
6481	25931	8	45381	32406
6486	25951	8	45416	32431
6491	25971	8	45451	32456
6496	25991	8	45486	32481
6501	26011	13	45528	32506
6506	26031	8	45556	32531
6511	26051	8	45591	32556
6516	26071	13	45633	32581
6521	26091	13	45668	32606
6526	26111	13	45703	32631
6531	26131	13	45738	32656
6536	26151	13	45773	32681
6541	26171	8	45801	32706
6546	26191	13	45843	32731
6551	26211	13	45878	32756
6556	26231	18	45920	32781
6561	26251	8	45941	32806
6566	26271	8	45976	32831
6571	26291	13	46018	32856
6576	26311	33	46081	32881
6581	26331	13	46088	32906
6586	26351	18	46130	32931
6591	26371	18	46165	32956
6596	26391	8	46186	32981
6601	26411	13	46228	33006
6606	26431	13	46263	33031
6611	26451	13	46298	33056
6616	26471	8	46326	33081
6621	26491	13	46368	33106
6626	26511	13	46403	33131
6631	26531	18	46445	33156
6636	26551	8	46466	33181
6641	26571	8	46501	33206
6646	26591	13	46543	33231
6651	26611	8	46571	33256
6656	26631	13	46613	33281
6661	26651	8	46641	33306
6666	26671	13	46683	33331
6671	26691	8	46711	33356
6676	26711	18	46760	33381
6681	26731	8	46781	33406
6686	26751	8	46816	33431
6691	26771	8	46851	33456
6696	26791	18	46900	33481
6701	26811	13	46928	33506
6706	26831	13	46963	33531
6711	26851	13	46998	33556
6716	26871	8	47026	33581
6721	26891	8	47061	33606
6726	26911	8	47096	33631
6731	26931	18	47145	33656
6736	26951	23	47187	33681
6741	26971	13	47208	33706
6746	26991	8	47236	33731
6751	27011	13	47278	33756
6756	27031	8	47306	33781
6761	27051	8	47341	33806
6766	27071	8	47376	33831
6771	27091	8	47411	33856
6776	27111	8	47446	33881
6781	27131	13	47488	33906
6786	27151	8	47516	33931
6791	27171	13	47558	33956
6796	27191	8	47586	33981
6801	27211	43	47670	34006
6806	27231	8	47656	34031
6811	27251	8	47691	34056
6816	27271	8	47726	34081
6821	27291	38	47803	34106
6826	27311	18	47810	34131
6831	27331	23	47852	34156
6836	27351	13	47873	34181
6841	27371	18	47915	34206
6846	27391	8	47936	34231
6851	27411	8	47971	34256
6856	27431	13	48013	34281
6861	27451	8	48041	34306
6866	27471	13	48083	34331
6871	27491	8	48111	34356
6876	27511	18	48160	34381
6881	27531	18	48195	34406
6886	27551	18	48230	34431
6891	27571	8	48251	34456
6896	27591	18	48300	34481
6901	27611	8	48321	34506
6906	27631	33	48391	34531
6911	27651	18	48405	34556
6916	27671	13	48433	34581
6921	27691	8	48461	34606
6926	27711	8	48496	34631
6931	27731	13	48538	34656
6936	27751	13	48573	34681
6941	27771	13	48608	34706
6946	27791	8	48636	34731
6951	27811	13	48678	34756
6956	27831	13	48713	34781
6961	27851	43	48790	34806
6966	27871	13	48783	34831
6971	27891	8	48811	34856
6976	27911	13	48853	34881
6981	27931	8	48881	34906
6986	27951	13	48923	34931
6991	27971	33	48986	34956
6996	27991	8	48986	34981
7001	28011	43	49070	35006
7006	28031	18	49070	35031
7011	28051	13	49098	35056
7016	28071	8	49126	35081
7021	28091	13	49168	35106
7026	28111	23	49217	35131
7031	28131	8	49231	35156
7036	28151	18	49280	35181
7041	28171	8	49301	35206
7046	28191	8	49336	35231
7051	28211	8	49371	35256
7056	28231	8	49406	35281
7061	28251	28	49469	35306
7066	28271	8	49476	35331
7071	28291	13	49518	35356
7076	28311	13	49553	35381
7081	28331	8	49581	35406
7086	28351	8	49616	35431
7091	28371	8	49651	35456
7096	28391	8	49686	35481
7101	28411	33	49756	35506
7106	28431	13	49763	35531
7111	28451	8	49791	35556
7116	28471	8	49826	35581
7121	28491	48	49917	35606
7126	28511	8	49896	35631
7131	28531	18	49945	35656
7136	28551	18	49980	35681
7141	28571	13	50008	35706
7146	28591	8	50036	35731
7151	28611	13	50078	35756
7156	28631	18	50120	35781
7161	28651	8	50141	35806
7166	28671	13	50183	35831
7171	28691	18	50225	35856
7176	28711	13	50253	35881
7181	28731	8	50281	35906
7186	28751	18	50330	35931
7191	28771	13	50358	35956
7196	28791	18	50400	35981
7201	28811	8	50421	36006
7206	28831	8	50456	36031
7211	28851	8	50491	36056
7216	28871	8	50526	36081
7221	28891	8	50561	36106
7226	28911	8	50596	36131
7231	28931	8	50631	36156
7236	28951	13	50673	36181
7241	28971	8	50701	36206
7246	28991	13	50743	36231
7251	29011	18	50785	36256
7256	29031	8	50806	36281
7261	29051	8	50841	36306
7266	29071	8	50876	36331
7271	29091	13	50918	36356
7276	29111	8	50946	36381
7281	29131	8	50981	36406
7286	29151	8	51016	36431
7291	29171	8	51051	36456
7296	29191	13	51093	36481
7301	29211	8	51121	36506
7306	29231	8	51156	36531
7311	29251	13	51198	36556
7316	29271	8	51226	36581
7321	29291	13	51268	36606
7326	29311	8	51296	36631
7331	29331	33	51366	36656
7336	29351	8	51366	36681
7341	29371	8	51401	36706
7346	29391	13	51443	36731
7351	29411	28	51499	36756
7356	29431	8	51506	36781
7361	29451	13	51548	36806
7366	29471	8	51576	36831
7371	29491	23	51632	36856
7376	29511	8	51646	36881
7381	29531	8	51681	36906
7386	29551	18	51730	36931
7391	29571	13	51758	36956
7396	29591	8	51786	36981
7401	29611	13	51828	37006
7406	29631	8	51856	37031
7411	29651	8	51891	37056
7416	29671	8	51926	37081
7421	29691	8	51961	37106
7426	29711	8	51996	37131
7431	29731	8	52031	37156
7436	29751	18	52080	37181
7441	29771	8	52101	37206
7446	29791	8	52136	37231
7451	29811	13	52178	37256
7456	29831	8	52206	37281
7461	29851	8	52241	37306
7466	29871	8	52276	37331
7471	29891	13	52318	37356
7476	29911	13	52353	37381
7481	29931	23	52402	37406
7486	29951	28	52444	37431
7491	29971	13	52458	37456
7496	29991	28	52514	37481
7501	30011	18	52535	37506
7506	30031	33	52591	37531
7511	30051	13	52598	37556
7516	30071	18	52640	37581
7521	30091	8	52661	37606
7526	30111	13	52703	37631
7531	30131	8	52731	37656
7536	30151	8	52766	37681
7541	30171	48	52857	37706
7546	30191	18	52850	37731
7551	30211	8	52871	37756
7556	30231	18	52920	37781
7561	30251	18	52955	37806
7566	30271	18	52990	37831
7571	30291	8	53011	37856
7576	30311	13	53053	37881
7581	30331	18	53095	37906
7586	30351	8	53116	37931
7591	30371	23	53172	37956
7596	30391	8	53186	37981
7601	30411	13	53228	38006
7606	30431	13	53263	38031
7611	30451	18	53305	38056
7616	30471	23	53347	38081
7621	30491	18	53375	38106
7626	30511	8	53396	38131
7631	30531	8	53431	38156
7636	30551	18	53480	38181
7641	30571	18	53515	38206
7646	30591	13	53543	38231
7651	30611	8	53571	38256
7656	30631	13	53613	38281
7661	30651	8	53641	38306
7666	30671	8	53676	38331
7671	30691	13	53718	38356
7676	30711	43	53795	38381
7681	30731	13	53788	38406
7686	30751	28	53844	38431
7691	30771	8	53851	38456
7696	30791	13	53893	38481
7701	30811	8	53921	38506
7706	30831	8	53956	38531
7711	30851	33	54026	38556
7716	30871	18	54040	38581
7721	30891	8	54061	38606
7726	30911	8	54096	38631
7731	30931	8	54131	38656
7736	30951	8	54166	38681
7741	30971	8	54201	38706
7746	30991	8	54236	38731
7751	31011	8	54271	38756
7756	31031	8	54306	38781
7761	31051	8	54341	38806
7766	31071	8	54376	38831
7771	31091	18	54425	38856
7776	31111	8	54446	38881
7781	31131	13	54488	38906
7786	31151	8	54516	38931
7791	31171	8	54551	38956
7796	31191	8	54586	38981
7801	31211	8	54621	39006
7806	31231	33	54691	39031
7811	31251	13	54698	39056
7816	31271	8	54726	39081
7821	31291	13	54768	39106
7826	31311	8	54796	39131
7831	31331	13	54838	39156
7836	31351	13	54873	39181
7841	31371	18	54915	39206
7846	31391	8	54936	39231
7851	31411	13	54978	39256
7856	31431	8	55006	39281
7861	31451	8	55041	39306
7866	31471	13	55083	39331
7871	31491	8	55111	39356
7876	31511	38	55188	39381
7881	31531	13	55188	39406
7886	31551	8	55216	39431
7891	31571	13	55258	39456
7896	31591	8	55286	39481
7901	31611	8	55321	39506
7906	31631	8	55356	39531
7911	31651	13	55398	39556
7916	31671	8	55426	39581
7921	31691	8	55461	39606
7926	31711	8	55496	39631
7931	31731	13	55538	39656
7936	31751	8	55566	39681
7941	31771	18	55615	39706
7946	31791	18	55650	39731
7951	31811	28	55699	39756
7956	31831	13	55713	39781
7961	31851	8	55741	39806
7966	31871	8	55776	39831
7971	31891	23	55832	39856
7976	31911	18	55860	39881
7981	31931	13	55888	39906
7986	31951	13	55923	39931
7991	31971	8	55951	39956
7996	31991	13	55993	39981
8001	32011	8	56021	40006
8006	32031	13	56063	40031
8011	32051	8	56091	40056
8016	32071	8	56126	40081
8021	32091	8	56161	40106
8026	32111	8	56196	40131
8031	32131	13	56238	40156
8036	32151	8	56266	40181
8041	32171	13	56308	40206
8046	32191	23	56357	40231
8051	32211	8	56371	40256
8056	32231	13	56413	40281
8061	32251	28	56469	40306
8066	32271	8	56476	40331
8071	32291	8	56511	40356
8076	32311	13	56553	40381
8081	32331	8	56581	40406
8086	32351	8	56616	40431
8091	32371	8	56651	40456
8096	32391	13	56693	40481
8101	32411	13	56728	40506
8106	32431	8	56756	40531
8111	32451	23	56812	40556
8116	32471	8	56826	40581
8121	32491	8	56861	40606
8126	32511	13	56903	40631
8131	32531	13	56938	40656
8136	32551	18	56980	40681
8141	32571	8	57001	40706
8146	32591	13	57043	40731
8151	32611	13	57078	40756
8156	32631	8	57106	40781
8161	32651	23	57162	40806
8166	32671	18	57190	40831
8171	32691	8	57211	40856
8176	32711	18	57260	40881
8181	32731	13	57288	40906
8186	32751	8	57316	40931
8191	32771	18	57365	40956
8196	32791	18	57400	40981
8201	32811	8	57421	41006
8206	32831	18	57470	41031
8211	32851	23	57512	41056
8216	32871	8	57526	41081
8221	32891	8	57561	41106
8226	32911	8	57596	41131
8231	32931	8	57631	41156
8236	32951	8	57666	41181
8241	32971	8	57701	41206
8246	32991	23	57757	41231
8251	33011	8	57771	41256
8256	33031	8	57806	41281
8261	33051	8	57841	41306
8266	33071	13	57883	41331
8271	33091	33	57946	41356
8276	33111	18	57960	41381
8281	33131	8	57981	41406
8286	33151	8	58016	41431
8291	33171	13	58058	41456
8296	33191	8	58086	41481
8301	33211	28	58149	41506
8306	33231	8	58156	41531
8311	33251	13	58198	41556
8316	33271	8	58226	41581
8321	33291	8	58261	41606
8326	33311	8	58296	41631
8331	33331	8	58331	41656
8336	33351	13	58373	41681
8341	33371	13	58408	41706
8346	33391	13	58443	41731
8351	33411	8	58471	41756
8356	33431	8	58506	41781
8361	33451	13	58548	41806
8366	33471	18	58590	41831
8371	33491	13	58618	41856
8376	33511	13	58653	41881
8381	33531	13	58688	41906
8386	33551	13	58723	41931
8391	33571	13	58758	41956
8396	33591	8	58786	41981
8401	33611	8	58821	42006
8406	33631	23	58877	42031
8411	33651	18	58905	42056
8416	33671	8	58926	42081
8421	33691	18	58975	42106
8426	33711	13	59003	42131
8431	33731	8	59031	42156
8436	33751	13	59073	42181
8441	33771	8	59101	42206
8446	33791	8	59136	42231
8451	33811	8	59171	42256
8456	33831	28	59234	42281
8461	33851	13	59248	42306
8466	33871	13	59283	42331
8471	33891	8	59311	42356
8476	33911	28	59374	42381
8481	33931	18	59395	42406
8486	33951	8	59416	42431
8491	33971	8	59451	42456
8496	33991	13	59493	42481
8501	34011	18	59535	42506
8506	34031	8	59556	42531
8511	34051	23	59612	42556
8516	34071	13	59633	42581
8521	34091	8	59661	42606
8526	34111	18	59710	42631
8531	34131	8	59731	42656
8536	34151	18	59780	42681
8541	34171	8	59801	42706
8546	34191	18	59850	42731
8551	34211	28	59899	42756
8556	34231	23	59927	42781
8561	34251	13	59948	42806
8566	34271	13	59983	42831
8571	34291	8	60011	42856
8576	34311	8	60046	42881
8581	34331	8	60081	42906
8586	34351	8	60116	42931
8591	34371	8	60151	42956
8596	34391	8	60186	42981
8601	34411	18	60235	43006
8606	34431	18	60270	43031
8611	34451	13	60298	43056
8616	34471	8	60326	43081
8621	34491	13	60368	43106
8626	34511	13	60403	43131
8631	34531	13	60438	43156
8636	34551	8	60466	43181
8641	34571	18	60515	43206
8646	34591	13	60543	43231
8651	34611	8	60571	43256
8656	34631	13	60613	43281
8661	34651	13	60648	43306
8666	34671	13	60683	43331
8671	34691	13	60718	43356
8676	34711	13	60753	43381
8681	34731	8	60781	43406
8686	34751	18	60830	43431
8691	34771	23	60872	43456
8696	34791	8	60886	43481
8701	34811	8	60921	43506
8706	34831	8	60956	43531
8711	34851	8	60991	43556
8716	34871	8	61026	43581
8721	34891	8	61061	43606
8726	34911	13	61103	43631
8731	34931	18	61145	43656
8736	34951	13	61173	43681
8741	34971	13	61208	43706
8746	34991	8	61236	43731
8751	35011	8	61271	43756
8756	35031	18	61320	43781
8761	35051	13	61348	43806
8766	35071	23	61397	43831
8771	35091	13	61418	43856
8776	35111	8	61446	43881
8781	35131	13	61488	43906
8786	35151	18	61530	43931
8791	35171	8	61551	43956
8796	35191	8	61586	43981
8801	35211	18	61635	44006
8806	35231	8	61656	44031
8811	35251	13	61698	44056
8816	35271	8	61726	44081
8821	35291	8	61761	44106
8826	35311	18	61810	44131
8831	35331	8	61831	44156
8836	35351	18	61880	44181
8841	35371	13	61908	44206
8846	35391	18	61950	44231
8851	35411	8	61971	44256
8856	35431	13	62013	44281
8861	35451	13	62048	44306
8866	35471	8	62076	44331
8871	35491	18	62125	44356
8876	35511	13	62153	44381
8881	35531	8	62181	44406
8886	35551	28	62244	44431
8891	35571	8	62251	44456
8896	35591	13	62293	44481
8901	35611	13	62328	44506
8906	35631	28	62384	44531
8911	35651	18	62405	44556
8916	35671	13	62433	44581
8921	35691	13	62468	44606
8926	35711	8	62496	44631
8931	35731	8	62531	44656
8936	35751	28	62594	44681
8941	35771	8	62601	44706
8946	35791	23	62657	44731
8951	35811	8	62671	44756
8956	35831	8	62706	44781
8961	35851	8	62741	44806
8966	35871	8	62776	44831
8971	35891	23	62832	44856
8976	35911	8	62846	44881
8981	35931	13	62888	44906
8986	35951	8	62916	44931
8991	35971	13	62958	44956
8996	35991	8	62986	44981
9001	36011	18	63035	45006
9006	36031	8	63056	45031
9011	36051	13	63098	45056
9016	36071	8	63126	45081
9021	36091	8	63161	45106
9026	36111	18	63210	45131
9031	36131	8	63231	45156
9036	36151	13	63273	45181
9041	36171	8	63301	45206
9046	36191	13	63343	45231
9051	36211	13	63378	45256
9056	36231	13	63413	45281
9061	36251	13	63448	45306
9066	36271	23	63497	45331
9071	36291	8	63511	45356
9076	36311	28	63574	45381
9081	36331	8	63581	45406
9086	36351	13	63623	45431
9091	36371	8	63651	45456
9096	36391	13	63693	45481
9101	36411	13	63728	45506
9106	36431	28	63784	45531
9111	36451	23	63812	45556
9116	36471	23	63847	45581
9121	36491	33	63896	45606
9126	36511	8	63896	45631
9131	36531	8	63931	45656
9136	36551	8	63966	45681
9141	36571	13	64008	45706
9146	36591	13	64043	45731
9151	36611	8	64071	45756
9156	36631	8	64106	45781
9161	36651	8	64141	45806
9166	36671	8	64176	45831
9171	36691	13	64218	45856
9176	36711	38	64288	45881
9181	36731	18	64295	45906
9186	36751	8	64316	45931
9191	36771	13	64358	45956
9196	36791	23	64407	45981
9201	36811	13	64428	46006
9206	36831	8	64456	46031
9211	36851	18	64505	46056
9216	36871	13	64533	46081
9221	36891	8	64561	46106
9226	36911	13	64603	46131
9231	36931	8	64631	46156
9236	36951	8	64666	46181
9241	36971	13	64708	46206
9246	36991	8	64736	46231
9251	37011	8	64771	46256
9256	37031	13	64813	46281
9261	37051	33	64876	46306
9266	37071	13	64883	46331
9271	37091	8	64911	46356
9276	37111	18	64960	46381
9281	37131	8	64981	46406
9286	37151	8	65016	46431
9291	37171	28	65079	46456
9296	37191	18	65100	46481
9301	37211	13	65128	46506
9306	37231	18	65170	46531
9311	37251	8	65191	46556
9316	37271	8	65226	46581
9321	37291	18	65275	46606
9326	37311	23	65317	46631
9331	37331	13	65338	46656
9336	37351	8	65366	46681
9341	37371	18	65415	46706
9346	37391	8	65436	46731
9351	37411	8	65471	46756
9356	37431	8	65506	46781
9361	37451	13	65548	46806
9366	37471	18	65590	46831
9371	37491	33	65646	46856
9376	37511	8	65646	46881
9381	37531	13	65688	46906
9386	37551	18	65730	46931
9391	37571	13	65758	46956
9396	37591	43	65835	46981
9401	37611	8	65821	47006
9406	37631	23	65877	47031
9411	37651	8	65891	47056
9416	37671	8	65926	47081
9421	37691	8	65961	47106
9426	37711	8	65996	47131
9431	37731	13	66038	47156
9436	37751	38	66108	47181
9441	37771	8	66101	47206
9446	37791	23	66157	47231
9451	37811	18	66185	47256
9456	37831	23	66227	47281
9461	37851	8	66241	47306
9466	37871	8	66276	47331
9471	37891	18	66325	47356
9476	37911	18	66360	47381
9481	37931	8	66381	47406
9486	37951	8	66416	47431
9491	37971	13	66458	47456
9496	37991	13	66493	47481
9501	38011	8	66521	47506
9506	38031	8	66556	47531
9511	38051	8	66591	47556
9516	38071	13	66633	47581
9521	38091	8	66661	47606
9526	38111	23	66717	47631
9531	38131	8	66731	47656
9536	38151	18	66780	47681
9541	38171	8	66801	47706
9546	38191	13	66843	47731
9551	38211	8	66871	47756
9556	38231	8	66906	47781
9561	38251	8	66941	47806
9566	38271	8	66976	47831
9571	38291	8	67011	47856
9576	38311	8	67046	47881
9581	38331	18	67095	47906
9586	38351	13	67123	47931
9591	38371	8	67151	47956
9596	38391	8	67186	47981
9601	38411	18	67235	48006
9606	38431	8	67256	48031
9611	38451	13	67298	48056
9616	38471	8	67326	48081
9621	38491	18	67375	48106
9626	38511	13	67403	48131
9631	38531	28	67459	48156
9636	38551	8	67466	48181
9641	38571	8	67501	48206
9646	38591	8	67536	48231
9651	38611	13	67578	48256
9656	38631	28	67634	48281
9661	38651	13	67648	48306
9666	38671	8	67676	48331
9671	38691	8	67711	48356
9676	38711	8	67746	48381
9681	38731	8	67781	48406
9686	38751	8	67816	48431
9691	38771	13	67858	48456
9696	38791	13	67893	48481
9701	38811	13	67928	48506
9706	38831	8	67956	48531
9711	38851	13	67998	48556
9716	38871	13	68033	48581
9721	38891	8	68061	48606
9726	38911	13	68103	48631
9731	38931	8	68131	48656
9736	38951	18	68180	48681
9741	38971	18	68215	48706
9746	38991	8	68236	48731
9751	39011	13	68278	48756
9756	39031	13	68313	48781
9761	39051	23	68362	48806
9766	39071	18	68390	48831
9771	39091	8	68411	48856
9776	39111	13	68453	48881
9781	39131	8	68481	48906
9786	39151	8	68516	48931
9791	39171	8	68551	48956
9796	39191	13	68593	48981
9801	39211	18	68635	49006
9806	39231	8	68656	49031
9811	39251	8	68691	49056
9816	39271	8	68726	49081
9821	39291	8	68761	49106
9826	39311	8	68796	49131
9831	39331	8	68831	49156
9836	39351	13	68873	49181
9841	39371	8	68901	49206
9846	39391	8	68936	49231
9851	39411	8	68971	49256
9856	39431	8	69006	49281
9861	39451	13	69048	49306
9866	39471	13	69083	49331
9871	39491	13	69118	49356
9876	39511	8	69146	49381
9881	39531	23	69202	49406
9886	39551	8	69216	49431
9891	39571	18	69265	49456
9896	39591	18	69300	49481
9901	39611	13	69328	49506
9906	39631	13	69363	49531
9911	39651	13	69398	49556
9916	39671	13	69433	49581
9921	39691	8	69461	49606
9926	39711	23	69517	49631
9931	39731	8	69531	49656
9936	39751	13	69573	49681
9941	39771	8	69601	49706
9946	39791	8	69636	49731
9951	39811	13	69678	49756
9956	39831	13	69713	49781
9961	39851	28	69769	49806
9966	39871	33	69811	49831
9971	39891	8	69811	49856
9976	39911	8	69846	49881
9981	39931	13	69888	49906
9986	39951	18	69930	49931
9991	39971	8	69951	49956
9996	39991	8	69986	49981
